bare,translations_en
бледный,pale
незнакомый,unknown
обязанный,obliged
удивительный,astonishing
святой,holy
физический,physical
несчастный,unhappy
глухой,deaf
сумасшедший,lunatic
убитый,depressed
особенный,special
соответствующий,proper
частный,private
официальный,official
мужской,Adjective of мужчина
обыкновенный,usual
пожилой,elderly
резкий,sharp
значительный,considerable
согласный,agreeable
седой,grey
блестящий,shining
непонятный,incomprehensible
восточный,east
строгий,strict
гражданский,civil
столовый,table
стыдный,shameful
замечательный,remarkable
временный,temporary
телефонный,telephone
юный,youthful
горький,bitter
печальный,sad
литературный,literary
лесной,Adjective of леслесное
естественный,natural
крутой,steep
проклятый,cursed
истинный,veritable
передний,front
южный,south
семейный,domestic
громкий,loud
одинокий,solitary
привычный,habitual
могучий,mighty
земной,earthly
неприятный,unpleasant
благородный,noble
мирный,peaceful
школьный,school
торопливый,hasty
медицинский,medical
духовный,spiritual
сегодняшний,today
грозный,terrible
шестой,sixth
равный,equal
прозрачный,transparent
профессиональный,professional
жёсткий,hard
грубый,rough
зимний,Adjective of зима
полицейский,police
партийный,party
удобный,comfortable
генеральный,general
ровный,flat
седьмой,seventh
финансовый,financial
нежный,tender
полезный,useful
обратный,reverse
старинный,antique
раненый,injured
мрачный,gloomy
массовый,mass
серебряный,silver
металлический,metallic
кожаный,leather
скромный,modest
дежурный,on duty
многочисленный,numerous
вооружённый,armed
правильный,right
смешной,ridiculous
конкретный,concrete
вчерашний,yesterday's
коричневый,brown
сладкий,sweet
плотный,compact
ужасный,terrible
стоящий,worthwhile
дешёвый,cheap
голодный,hungry
душевный,sincere
отечественный,native
бесконечный,endless
активный,active
жизненный,vital
вечерний,evening
сырой,damp
волшебный,magic
утренний,morning
случайный,accidental
воздушный,air
европейский,European
спортивный,sporting
невидимый,invisible
жалкий,pitiful
ленинградский,of or relating to the city of Leningrad
коммунистический,communist
творческий,creative
вещий,prophetic
смелый,bold
китайский,Chinese
деловой,business
совместный,joint
противоположный,opposite
опытный,experimental
неведомый,unknown
одинаковый,identical
еврейский,Jewish
допустимый,permissible
кривой,crooked
жестокий,cruel
гигантский,gigantic
половой,floor
японский,Japanese
понятный,intelligible
художественный,artistic
достойный,deserving
ледяной,ice
дополнительный,supplementary
стеклянный,glass
материальный,material
таинственный,mysterious
торговый,Adjective of торговля
секретный,secret
суровый,severe
служебный,official
горный,mountainous
дурной,bad
необыкновенный,unusual
заметный,noticeable
отличный,different
громадный,huge
мастерская,workshop
снежный,snow
сплошной,continuous
культурный,cultural
восьмой,eighth
неторопливый,leisurely
посторонний,strange
трудовой,working
космический,cosmic
всеобщий,universal
социалистический,socialist
славный,glorious
надёжный,reliable
лишённый,void
царский,royal
малейший,the least
характерный,typical
явный,evident
германский,Germanic
плоский,flat
длительный,long
электрический,electric
деревенский,rural
собачий,Adjective of собака
стальной,steel
жирный,fat
подземный,underground
радостный,glad
музыкальный,musical
оперативный,efficient
великолепный,splendid
слепой,blind
приёмный,receiving
подходящий,suitable
будущий,future
невероятный,incredible
скрытый,secret
жаркий,hot
небесный,celestial
недавний,recent
полевой,field
влажный,humid
дурацкий,stupid
ценный,valuable
искусственный,artificial
уважаемый,respected
письменный,writing
хитрый,sly
последующий,following
осенний,autumnal
десятый,tenth
психический,psychic
неправильный,irregular
усталый,tired
приличный,decent
тесный,cramped
учебный,educational
грустный,melancholy
чудесный,wonderful
окружающий,surrounding
кровавый,bloody
недовольный,dissatisfied
вольный,free
загадочный,mysterious
заключённый,prisoner
разумный,reasonable
железнодорожный,railway
уголовный,criminal
тупой,blunt
подлинный,authentic
внезапный,sudden
максимальный,maximum
давний,old
ответственный,responsible
девятый,ninth
напряжённый,strained
химический,chemical
необычный,unusual
предыдущий,previous
рослый,tall
забытый,lost
мудрый,wise
осторожный,careful
старательный,assiduous
дошлый,cunning
смертный,mortal
медный,cooper
традиционный,traditional
демократический,democratic
колючий,prickly
жуткий,terrible
федеральный,federal
моральный,moral
неподвижный,immovable
головной,head
столичный,capital
конечный,final
сельский,rural
нелепый,absurd
революционный,revolutionary
гордый,proud
нетерпеливый,impatient
передовой,foremost
новенький,new
набитый,well packed
талантливый,gifted
промышленный,industrial
противный,opposite
мутный,turbid
отчаянный,desperate
огненный,flame-coloured
здешний,of this place
косой,slanting
благодарный,grateful
молчаливый,taciturn
чудовищный,monstrous
пыльный,dusty
весенний,Adjectival form of Spring the season
казённый,fiscal
тревожный,anxious
гениальный,of genius
ласковый,affectionate
гладкий,smooth
действующий,active
королевский,royal
коммерческий,commercial
классический,classic
таковой,such
повышенный,heightened
положительный,positive
двойной,double
популярный,popular
хронический,chronic
неуверенный,uncertain
убеждённый,convinced
денежный,money
чеченский,Chechen
решительный,decisive
стройный,slender
торжественный,solemn
прохожий,passing
психологический,psychologic
безнадёжный,hopeless
разноцветный,many-coloured
этакий,such
слышный,audible
любопытный,curious
роскошный,luxurious
книжный,bookish
совершенный,perfect
меньший,lesser
корейский,Korean
верховный,supreme
просторный,spacious
неопределённый,indeterminate
эффективный,effective
зловещий,ominous
абсолютный,absolute
алый,vermilion
религиозный,religious
бешеный,crazy
типичный,typical
выходной,exit-
праздничный,holiday
подозрительный,suspicious
ненужный,unnecessary
квадратный,square
преступный,criminal
влюблённый,in love
медленный,slow
лагерный,Adjective of лагерьлагерный
очевидный,obvious
бумажный,paper
солидный,solid
электронный,electronic
предстоящий,coming
симпатичный,likable
видный,visible
фантастический,fantastic nature
беспомощный,helpless
украинский,Ukrainian
итальянский,Italian
непосредственный,immediate
практический,practical
безумный,reckless
невысокий,not high
болезненный,ailing
лысый,bald
своеобразный,original
польский,Polish
законный,legal
финский,Finnish
неплохой,not bad
пожарный,fire
смертельный,mortal
жидкий,liquid
обширный,spacious
сердечный,heart
бурный,stormy
налоговый,tax
немалый,sizable
крохотный,tiny
сонный,sleepy
двадцатый,twentieth
невозможный,impossible
модный,fashionable
природный,natural
пленный,captive
зарубежный,foreign
справедливый,just
самостоятельный,independent
хозяйственный,economic
презрительный,contemptuous
разнообразный,various
пустынный,desert
доступный,accessible
нравственный,moral
независимый,independent
театральный,theatre
танковый,tank
стратегический,strategic
энергичный,energetic
информационный,Adjective of информацияинформационное
оранжевый,orange
матёрый,hardened
сложённый,formed
здоровенный,very strong
обречённый,doomed
уникальный,unique
армейский,Adjective of армия
прошедший,past
интеллигентный,cultured
смутный,troubled
бессмертный,immortal
скучный,dull
тяжкий,heavy
нищий,beggar
свойственный,peculiar
обязательный,obligatory
выдающийся,prominent
парадный,main
эмоциональный,emotional
ржавый,rusty
окончательный,final
невыносимый,intolerable
чёткий,clear
уличный,street
резиновый,rubber
трезвый,sober
образованный,educated
вкусный,good
драгоценный,precious
тюремный,Adjective of тюрьматюремная
знающий,learned
указанный,stated
крошечный,Tiny
отвратительный,disgusting
неясный,vague
бессмысленный,senseless
наивный,naive
производственный,industrial
тощий,emaciated
текущий,current
лунный,Adjective of луна
порядочный,considerable
непривычный,unused
судебный,judicial
пёстрый,motley
идеальный,ideal
равнодушный,indifferent
сексуальный,sexual
молоденький,young
отдалённый,remote
британский,British
римский,Roman
студенческий,Adjective of студентстуденческий
почётный,honourable
прохладный,fresh
атомный,atomic
существенный,essential
внимательный,attentive
слизистый,mucous
отрицательный,negative
багровый,crimson
ложный,false
снисходительный,indulgent
шумный,noisy
изящный,refined
подробный,detailed
деловитый,efficient
уютный,comfortable
присутствующий,present
областной,provincial
дневной,day
склонный,inclined
неизбежный,inevitable
объективный,objective
вредный,harmful
босой,barefooted
воинский,military
мороженый,frozen
правительственный,governmental
крестьянский,Adjective of крестьянинкрестьянские
звонкий,ringing
достаточный,sufficient
ручной,hand
молочный,milky
индивидуальный,individual
вонючий,stinking
ближний,near
трагический,tragic
интеллектуальный,intellectual
бронзовый,bronzed
сомнительный,doubtful
бетонный,concrete
изумрудный,Adjective of изумруд
прочный,durable
фиолетовый,violet
магический,magic
механический,mechanical
виновный,guilty
аккуратный,exact
угрюмый,sullen
выгодный,advantageous
почтительный,respectful
удачный,successful
дорожный,travelling
испуганный,frightened
аналогичный,analogous
газетный,Adjective of газетагазетный
мучительный,poignant
священный,sacred
строительный,building
сытый,satisfied
пышный,splendid
звёздный,star
бесплатный,free
идеологический,ideological
излишний,superfluous
предварительный,preliminary
оригинальный,original
тусклый,dim
бурый,brown
сионистский,Zionist
намеренный,intentional
тоненький,thin
худший,worse
смуглый,black
израильский,Israeli
срочный,pressing
ограниченный,limited
юридический,juridical
незначительный,insignificant
артиллерийский,Adjective of артиллерияартиллерийский
всемирный,world
потный,sweaty
враждебный,hostile
грандиозный,mighty
автомобильный,motor-car
краткий,short
покойный,quiet
угрожающий,threatening
немой,dumb
брезгливый,fastidious
сборный,collapsible
искренний,sincere
греческий,Greek
милицейский,Adjective of милиция
ихний,their
откровенный,candid
нехороший,bad
удивлённый,astonished
старенький,old
лиловый,purple
почтовый,post
стандартный,standard
фашистский,fascist
величайший,the greatest
чуждый,alien
взаимный,mutual
вежливый,polite
всевозможный,various
избранный,select
шёлковый,silk
преданный,devoted
следственный,investigation
солёный,salt
сибирский,Siberian
рваный,torn
важнейший,major
туманный,misty
решающий,decisive
парижский,Parisian
административный,administrative
минимальный,minimum
хорошенький,pretty
полярный,arctic
биологический,biological
машинальный,mechanical
водный,aqueous
эстонский,Estonian
тогдашний,of that time
кирпичный,Adjective of кирпичкирпичный
дружеский,friendly
птичий,bird
бородатый,bearded
безопасный,safe
женатый,married
критический,critical
ничтожный,trifling
загорелый,sunburnt
приезжий,newly arrived
служащий,used
стремительный,swift
ядерный,nuclear
почтенный,honourable
подлый,mean
классовый,Adjective of класс
здравый,sensible
серебристый,silvery
тугой,tight
пушистый,downy
ядовитый,poisonous
транспортный,Adjective of транспорттранспортное
робкий,shy
былой,former
бесчисленный,countless
хриплый,hoarse
обиженный,having a grudge
октябрьский,October-
забавный,amusing
запасной,spare
ленивый,lazy
теоретический,theoretical
присяжный,born
хмурый,gloomy
жареный,fried
начальный,elementary
сжатый,condensed
президентский,presidential
невозмутимый,imperturbable
ловкий,adroit
скользкий,slippery
испанский,Spanish
первобытный,primitive
любезный,amiable
кислый,sour
недоуменный,puzzling
действительный,actual
принципиальный,of principle
элементарный,elementary
песчаный,sandy
хирургический,surgical
носовой,nasal
бравый,gallant
организованный,organized
умственный,mental
золотистый,goldish
натуральный,natural
заветный,cherished
вражеский,enemy
колхозный,Adjective of колхозколхозные
рыночный,market
несправедливый,unjust
злобный,spiteful
бодрый,cheerful
массивный,massive
исключительный,exceptional
охотничий,hunting
наглый,impudent
обнажённый,naked
дубовый,oak
унылый,sad
девичий,girlish
безжалостный,pitiless
обильный,abundant
автоматический,automatic
сосновый,pine
турецкий,Turkish
лестничный,Adjective of лестницалестничная
садовый,garden
собранный,precise
неверный,incorrect
чрезвычайный,extraordinary
сизый,dove-coloured
упрямый,obstinate
криминальный,criminal
заграничный,foreign
заинтересованный,interested
грузинский,Georgian
минувший,past
жадный,greedy
кухонный,Adjective of кухня
любовный,love
наружный,external
замкнутый,reserved
сказочный,fairy-tale
морозный,frosty
горючий,combustible
романтический,romantic
православный,orthodox
озабоченный,preoccupied
штатский,civil
контрольный,Adjective of контрольконтрольная
коллективный,collective
немолодой,elderly
кавказский,Caucasian
гнилой,rotten
лекарственный,medicinal
стойкий,firm
авиационный,aviation
чайный,tea
забитый,oppressed
храбрый,brave
нарядный,smart
чугунный,cast-iron
рекламный,publicity
благоприятный,favourable
румяный,rosy
недоступный,inaccessible
успешный,successful
устойчивый,steady
материнский,maternal
многозначительный,significant
пограничный,frontier
выразительный,expressive
мохнатый,hairy
магнитный,magnetic
усатый,with a big moustache
яростный,furious
грудной,pectoral
защитный,protective
хрупкий,fragile
буржуазный,bourgeois
грядущий,approaching
честный,honest
лохматый,shaggy
коммунальный,municipal
сознательный,conscious
неизменный,invariable
непрерывный,continuous
необычайный,extraordinary
двенадцатый,twelfth
гнойный,purulent
партизанский,Adjective of партизанпартизанская
неудачный,unsuccessful
зеленоватый,greenish
всяческий,all kinds of
полосатый,striped
бессильный,weak
беспощадный,merciless
дипломатический,diplomatic
табачный,tobacco
наибольший,the greatest
пухлый,pudgy
вялый,flabby
энергетический,power
трогательный,touching
летучий,flying
церковный,Adjective of церковьцерковный
поразительный,striking
примитивный,primitive
условный,conditional
публичный,public
необъяснимый,inexplicable
сие,This
тридцатый,thirtieth
клинический,clinical
свирепый,fierce
пронзительный,shrill
потенциальный,potential
авторский,Adjective of авторавторский
чудный,wonderful
божественный,divine
героический,heroic
недобрый,unkind
некрасивый,plain
капиталистический,capitalist
агрессивный,aggressive
беременный,pregnant
хрустальный,crystal
бесполезный,useless
свинцовый,leaden
неслышный,inaudible
присущий,inherent
нелёгкий,difficult
светящийся,luminous
коварный,insidious
пшеничный,wheaten
ракетный,rocket
властный,imperious
переменный,variable
ответный,reciprocal
телевизионный,television
желательный,desirable
провинциальный,provincial
стрелковый,rifle
неистовый,furious
мерзкий,vile
сдержанный,restrained
больничный,Adjective of больницабольничный
избирательный,electoral
упругий,elastic
рыбный,fish
незаметный,imperceptible
липкий,sticky
желудочный,gastric
санитарный,sanitary
неуловимый,elusive
измученный,exhausted
зубной,dental
смешанный,mixed
мужественный,courageous
логический,logical
потёртый,shabby
легендарный,legendary
волчий,wolf
руководящий,leading
клетчатый,checked
насмешливый,mocking
нечистый,unclean
упорный,persistent
императорский,Adjective of император
беззащитный,defenceless
участковый,divisional
придворный,court
персональный,personal
бабий,womanish
легкомысленный,light
белорусский,Byelorussian
спиртной,alcoholic
банковский,Adjective of банк
молодёжный,youth
пулемётный,machine-gun
врождённый,innate
иммиграционный,Adjective of иммиграцияиммиграционные
мясной,Adjective of мясомясная
брезентовый,Adjective of брезентбрезентовое
лихой,evil
бархатный,velvety
прогрессивный,progressive
превосходный,excellent
гибкий,flexible
убедительный,convincing
идиотский,idiotic
восторженный,enthusiastic
светский,secular
христианский,Christian
немыслимый,unthinkable
желанный,desired
неуклюжий,clumsy
первоначальный,primary
уродливый,deformed
белёсый,whitish
специфический,specific
худенький,slender
очаровательный,charming
привлекательный,attractive
экологический,ecological
новейший,newest
скверный,bad
университетский,university
упавший,cheerless
цивилизованный,civilized
шикарный,chic
внушительный,imposing
невиданный,unprecedented
небывалый,unprecedented
небритый,unshaven
добродушный,good-natured
шведский,Swedish
кремлёвский,Adjective of кремль
классный,first-class
дружный,friendly
глиняный,clay
незаконный,illegal
товарный,goods
гнусный,infamous
глобальный,global
трудящийся,worker
импортный,imported
лечебный,medical
указательный,indicating
грешный,sinful
средневековый,medieval
исполнительный,executive
белоснежный,snowy
чувствительный,sensible
безымянный,nameless
блаженный,blissful
прошлогодний,of last year
дерзкий,impudent
ослепительный,blinding
желтоватый,yellowish
поверхностный,surface
индийский,Indian
малиновый,raspberry
кошачий,cat
олимпийский,Olympic
жгучий,burning
сердитый,angry
первичный,primary
уважительный,valid
ненормальный,abnormal
хромой,lame
шахматный,chess
медвежий,Adjective of медведь
воспалительный,inflammatory
берёзовый,Adjective of берёзаберёзовый
двоюродный,first cousin
поганый,unclean
технологический,technological
костлявый,bony
одиннадцатый,eleventh
душный,close
арабский,Arab
самодельный,home-made
пишущий,writing
шерстяной,woollen
восхищённый,enraptured
матовый,mat
законодательный,legislative
памятный,memorable
миленький,pretty
житейский,everyday
звериный,Adjective of зверь
пластмассовый,Adjective of пластмасса
реактивный,reactive
арестованный,prisoner
задумчивый,thoughtful
оглушительный,deafening
ежедневный,daily
ежовый,Adjective of ёж
русый,light brown
нерешительный,irresolute
правовой,legal
мятый,crushed
причудливый,whimsical
подпольный,under the floor
мусорный,Adjective of мусормусорный
покорный,submissive
безошибочный,unerring
исследовательский,research
устроенный,arranged
волосатый,hairy
мгновенный,instantaneous
натянутый,tight
вызывающий,defiant
щедрый,generous
мальчишеский,boyish
сосудистый,vascular
инженерный,engineering
патологический,pathologic
многолетний,of many years
унизительный,humiliating
валютный,currency
соломенный,straw
недостойный,unworthy
убогий,wretched
пресловутый,notorious
поэтический,poetic
универсальный,universal
прелестный,charming
качественный,qualitative
растительный,vegetable
грузный,heavy
цветущий,blooming
бюджетный,budgetary
гитлеровский,Hitlerite
дворцовый,Adjective of дворец
интимный,intimate
обеденный,Adjective of обедобеденный
неумолимый,inexorable
исходный,initial
математический,mathematical
авторитетный,authoritative
чрезмерный,excessive
куриный,Adjective of курицакуриное
вертикальный,vertical
добровольный,voluntary
рациональный,rational
дыхательный,respiratory
укоризненный,reproachful
рогатый,horned
подмосковный,near Moscow
банальный,banal
скрипучий,squeaking
нефтяной,oil
чуткий,sensitive
конный,mounted
операционный,Adjective of операцияоперационное
любящий,loving
вероятный,probable
паршивый,scabby
пятнадцатый,fifteenth
муниципальный,municipal
истерический,hysterical
тягостный,painful
сахарный,Adjective of сахар
родственный,kindred
входящий,incoming
региональный,regional
либеральный,liberal
лётный,flying
коренной,native
зеркальный,Adjective of зеркало
красноватый,reddish
воспитанный,well brought up
параллельный,parallel
рассеянный,absent-minded
швейцарский,Swiss
спальный,sleeping
спасительный,salutary
печатный,printing
отчётливый,distinct
пролетарский,proletarian
минеральный,mineral
неровный,uneven
дачный,Adjective of дача
оконный,Adjective of окнооконная
тоскливый,dreary
неудобный,uncomfortable
белобрысый,tow-haired
послевоенный,post-war
пристальный,fixed
нейтральный,neutral
величественный,majestic
населённый,populated
земляной,earthen
продовольственный,food
таможенный,custom
аварийный,repair
оживлённый,animated
зрительный,visual
радужный,iridescent
зрелый,ripe
алкогольный,alcoholic
кадровый,regular
выпуклый,salient
рискованный,risky
старческий,senile
безлюдный,uninhabited
безобидный,inoffensive
родительский,paternal
смущённый,confused
грамотный,literate
гулкий,hollow
пологий,gentle
ударный,shock
консервный,Adjective of консервы
хлебный,abundant
оборонительный,defensive
ненавистный,hated
тщательный,careful
сочный,juicy
обидный,offensive
старомодный,outmoded
юношеский,youthful
относительный,relative
индустриальный,industrial
могущественный,powerful
безразличный,indifferent
производительный,productive
беспокойный,uneasy
колоссальный,colossal
повторный,repeated
благополучный,happy
немедленный,immediate
влиятельный,influential
кишечный,Adjective of кишечник
пассажирский,Adjective of пассажирпассажирский
милостивый,merciful
нехитрый,simple
алюминиевый,Adjective of алюминий
недостаточный,insufficient
едкий,caustic
окрестный,environing
удалённый,remote
регулярный,regular
охранный,Adjective of охрана
писательский,Adjective of писатель
позорный,disgraceful
угольный,coal
бездарный,dull
трусливый,cowardly
тамошний,of that place
нелегальный,illegal
ватный,lined with wadding
сиреневый,lilac
спелый,ripe
бритый,shaven
девятнадцатый,nineteenth
рыбий,fish
парикмахерский,barber
семнадцатый,seventeenth
голубоватый,bluish
косвенный,indirect
братский,brotherly
узенький,tight
звуковой,Adjective of звукзвуковая
варёный,boiled
идейный,ideological
доверчивый,trustful
шершавый,rough
артериальный,arterial
настойчивый,persistent
латинский,Latin
педагогический,pedagogic
дамский,Adjective of дама
скудный,scanty
мечтательный,dreamy
буйный,violent
деликатный,delicate
безмятежный,serene
бесстрашный,fearless
призрачный,spectral
непроизвольный,involuntary
кожный,skin
неполный,incomplete
заснежённый,snow-covered
элегантный,elegant
сущий,real
копчёный,smoked
несомненный,indubitable
довоенный,pre-war
послушный,obedient
рыхлый,friable
повседневный,daily
толковый,intelligible
лошадиный,Adjective of лошадь
прощальный,parting
разведывательный,reconnaissance
знатный,notable
помятый,flabby
правдивый,truthful
продолжительный,long
свадебный,wedding
теперешний,present
вкрадчивый,insinuating
безобразный,lacking in imagery
недалёкий,near
лирический,lyric
недолгий,brief
каковой,which
ожесточённый,bitter
сукин,Adjective of сука
правящий,ruling
полноценный,of full value
инстинктивный,instinctive
интенсивный,intensive
долговязый,leggy
бесцветный,colourless
белокурый,blond
машинный,Adjective of машинамашинная
автоматный,Adjective of автомат
словесный,verbal
сумрачный,gloomy
крытый,with a roof
абстрактный,abstract
воскресный,Adjective of воскресеньевоскресный
походный,march
низший,lower
неразборчивый,illegible
суетливый,fussy
наилучший,best
хозяйский,Adjective of хозяин
дивный,marvellous
душистый,fragrant
горелый,burnt
бесплодный,barren
скорбный,sorrowful
академический,academic
увлекательный,fascinating
приморский,seaside
настольный,table
искажённый,distorted
округлый,rounded
благой,good
перспективный,perspective
дружелюбный,friendly
каменистый,stony
престарелый,aged
горизонтальный,horizontal
гвардейский,Adjective of гвардиягвардейское
гуманитарный,pertaining to the humanities
размеренный,measured
эстетический,aesthetic
возвышенный,high
показательный,model
тринадцатый,thirteenth
гранитный,granite
простейший,protozoa
корявый,rough
проезжий,traveller
нечеловеческий,superhuman
масляный,Adjective of масло
синеватый,bluish
невольный,forced
африканский,African
игрушечный,Adjective of игрушкаигрушечный
наблюдательный,observant
вторичный,second
противотанковый,anti-tank
годовой,annual
победный,triumphal
органический,organic
нездоровый,unhealthy
остроумный,witty
прибрежный,coastal
худощавый,lean
еловый,fir
бестолковый,muddle-headed
капризный,capricious
образцовый,model
неуместный,misplaced
мыльный,soapy
болотный,marsh
достоверный,reliable
приветливый,affable
кудрявый,curly
обвиняемый,the accused
неслыханный,unheard of
постельный,bed
пахучий,odorous
ветхий,decrepit
патриотический,patriotic
великодушный,magnanimous
кошмарный,nightmarish
живописный,pictorial
долгожданный,long-awaited
повинный,guilty
дьявольский,devilish
похоронный,funeral
противоречивый,discrepant
крылатый,winged
дореволюционный,pre-revolutionary
беглый,fluent
непохожий,unlike
локальный,local
оборонный,Adjective of оборона
умерший,the dead
телесный,corporal
брюшной,abdominal
признанный,acknowledged
непостижимый,incomprehensible
персидский,Persian
мистический,mystic
оптимальный,optimum
винный,winy
адский,hellish
вдохновенный,inspired
опасливый,cautious
изысканный,refined
неприличный,indecent
запретный,forbidden
нежелательный,undesirable
десантный,landing
заманчивый,tempting
сельскохозяйственный,agricultural
шустрый,bright
азиатский,Asian
изрядный,fairly good
умеренный,moderate
наличный,on hand
оскорбительный,insulting
бездонный,bottomless
групповой,group
вишнёвый,cherry
рассудительный,reasonable
нестерпимый,unbearable
непроницаемый,impenetrable
цельный,whole
экзотический,exotic
учительский,Adjective of учительучительский
бандитский,armed robbery
непоправимый,irreparable
гостеприимный,hospitable
удачливый,lucky
диковинный,strange
насторожённый,watchful
бродячий,vagrant
бывалый,worldly-wise
экспериментальный,experimental
архитектурный,architectural
отважный,courageous
простодушный,open-hearted
сентиментальный,sentimental
невообразимый,inconceivable
жилищный,housing
назойливый,importunate
канадский,Canadian
продолговатый,oblong
бесцеремонный,unceremonious
концертный,Adjective of концертконцертный
коллежский,collegiate
утомлённый,tired
туалетный,Adjective of туалеттуалетное
начинающий,beginner
восемнадцатый,eighteenth
неладный,wrong
бессонный,sleepless
новорождённый,new-born
жёлчный,bilious
карманный,Adjective of карманкарманный
цепкий,tenacious
горбатый,humpbacked
пеший,pedestrian
добротный,of good quality
картонный,Adjective of картон
стихийный,elemental
драматический,dramatic
незримый,invisible
лукавый,sly
верующий,believers
неправдоподобный,improbable
дымный,smoky
караульный,sentry
липовый,sham
славянский,Slavonic
негромкий,low
курортный,Adjective of курорткурортное
тропический,tropical
неспособный,incapable
избыточный,surplus
бесстрастный,impassive
трамвайный,tram
безмолвный,speechless
шоколадный,chocolate
невесёлый,joyless
зыбкий,unsteady
субъективный,subjective
хищный,predatory
курносый,snub-nosed
покинутый,abandoned
ротный,company
попутный,passing
мельчайший,the smallest
зенитный,zenithal
программный,program
серенький,grey
громоздкий,bulky
безжизненный,lifeless
размашистый,sweeping
страховой,insurance
безупречный,irreproachable
застенчивый,shy
находчивый,resourceful
безработный,unemployed
квалифицированный,skilled
большевистский,Bolshevist
сдавленный,constrained
тотальный,total
